t,Experimental treatment,Weight (g)
1,c,19.7
1,n,33.8
2,c,27.8
2,n,33.2
3,c,17.6
3,n,28.2
4,c,42
4,n,28.2
5,c,29.3
5,n,32.5
6,c,17.8
6,n,34.1
7,c,30.9
7,n,30.6
8,c,33.4
8,n,34.5
9,c,31.8
9,n,32.6
10,c,22.9
10,n,28.6
11,c,41.1
11,n,32.4
12,c,29.9
12,n,26.5
13,c,19.8
13,n,36.7
14,c,3.9
14,n,38.9
15,c,37.2
15,n,29.5
16,c,25.6
16,n,26.8
17,c,25.8
17,n,33.3
18,c,35.4
18,n,30.5
19,c,34.2
19,n,40.6
20,c,31.9
20,n,30.8
21,c,35.2
21,n,33.8
22,c,33.8
22,n,31.1
23,c,26.7
23,n,28
24,c,6.1
24,n,31.8
25,c,32.2
25,n,23.8
26,c,25.4
26,n,36.9
27,c,24.4
27,n,31.6
28,c,11.3
28,n,39.7
29,c,21.2
29,n,32.9
30,c,30.2
30,n,28.2
31,c,39.6
31,n,33.4
32,c,25
32,n,27.3
33,c,29.9
33,n,26
34,c,25.5
34,n,32.2
35,c,12.2
35,n,29.2
36,c,21.9
36,n,NA
37,c,22.1
37,n,NA
38,c,25.4
38,n,NA
39,c,37
39,n,NA
40,c,33.6
40,n,NA
41,c,24.4
41,n,NA
42,c,23.5
42,n,NA
